MES_FATURA,date,MÊS,SEMANA_DO_MÊS,title,amount,valor_formatado
2025-02 (FEV),2025-01-30 00:00:00+00:00,jan,5,Supermercado Guanabara,261.5,"R$ 261,50"
2025-02 (FEV),2025-01-28 00:00:00+00:00,jan,4,Renegociação de pendências (28/Janeiro),-650.63,"R$ -650,63"
2025-02 (FEV),2025-01-28 00:00:00+00:00,jan,4,Encerramento de dívida,-54.64,"R$ -54,64"
2025-02 (FEV),2025-01-28 00:00:00+00:00,jan,4,Multa de atraso,19.08,"R$ 19,08"
2025-02 (FEV),2025-01-28 00:00:00+00:00,jan,4,Juros de atraso,27.38,"R$ 27,38"
2025-02 (FEV),2025-01-28 00:00:00+00:00,jan,4,IOF de atraso,8.17,"R$ 8,17"
2025-02 (FEV),2025-01-24 00:00:00+00:00,jan,4,Rio Bel Cosmeticos,64.7,"R$ 64,70"
2025-02 (FEV),2025-01-23 00:00:00+00:00,jan,4,Renegociação de pendências (28/Janeiro),226.89,"R$ 226,89"
2025-02 (FEV),2025-01-23 00:00:00+00:00,jan,4,Pagamento recebido,-300.0,"R$ -300,00"
2025-02 (FEV),2025-01-22 00:00:00+00:00,jan,4,Supermercado Guanabara,169.97,"R$ 169,97"
2025-02 (FEV),2025-01-21 00:00:00+00:00,jan,3,Saldo em atraso,950.63,"R$ 950,63"
2025-02 (FEV),2025-01-21 00:00:00+00:00,jan,3,Rederj,58.01,"R$ 58,01"
2025-02 (FEV),2025-01-21 00:00:00+00:00,jan,3,Crédito de atraso,-950.63,"R$ -950,63"
2025-02 (FEV),2025-01-17 00:00:00+00:00,jan,3,Amazonprimebr,19.9,"R$ 19,90"
2025-02 (FEV),2025-01-17 00:00:00+00:00,jan,3,"Estorno de ""Amazon Prime Canais""",-29.9,"R$ -29,90"
2025-03 (MAR),2025-03-08 00:00:00+00:00,mar,2,Bazar Variedades Mgg,19.99,"R$ 19,99"
2025-03 (MAR),2025-02-27 00:00:00+00:00,fev,4,Supermercado Guanabara,370.34,"R$ 370,34"
2025-03 (MAR),2025-02-24 00:00:00+00:00,fev,4,Rederj,69.81,"R$ 69,81"
2025-03 (MAR),2025-02-23 00:00:00+00:00,fev,4,Pagamento recebido,-800.97,"R$ -800,97"
2025-03 (MAR),2025-02-22 00:00:00+00:00,fev,4,Supermercado Guanabara,67.89,"R$ 67,89"
2025-03 (MAR),2025-02-17 00:00:00+00:00,fev,3,Amazonprimebr,19.9,"R$ 19,90"
2025-03 (MAR),2025-02-16 00:00:00+00:00,fev,3,Renegociação de pendências (28/Janeiro),226.89,"R$ 226,89"
2025-04 (ABR),2025-03-27 00:00:00+00:00,mar,4,Supermercado Guanabara,304.04,"R$ 304,04"
2025-04 (ABR),2025-03-24 00:00:00+00:00,mar,4,Rederj,85.92,"R$ 85,92"
2025-04 (ABR),2025-03-24 00:00:00+00:00,mar,4,Pagamento recebido,-774.82,"R$ -774,82"
2025-04 (ABR),2025-03-21 00:00:00+00:00,mar,3,Rederj,39.26,"R$ 39,26"
2025-04 (ABR),2025-03-18 00:00:00+00:00,mar,3,Tim*Tim,66.99,"R$ 66,99"
2025-04 (ABR),2025-03-17 00:00:00+00:00,mar,3,Amazonprimebr,19.9,"R$ 19,90"
2025-04 (ABR),2025-03-16 00:00:00+00:00,mar,3,Renegociação de pendências (28/Janeiro),226.89,"R$ 226,89"
2025-05 (MAI),2025-05-07 00:00:00+00:00,mai,1,Metro Rj,7.9,"R$ 7,90"
2025-05 (MAI),2025-04-28 00:00:00+00:00,abr,4,Rederj,73.73,"R$ 73,73"
2025-05 (MAI),2025-04-25 00:00:00+00:00,abr,4,Lojas Americanas,15.48,"R$ 15,48"
2025-05 (MAI),2025-04-25 00:00:00+00:00,abr,4,Riocardmais,30.0,"R$ 30,00"
2025-05 (MAI),2025-04-24 00:00:00+00:00,abr,4,Supermercado Guanabara,216.05,"R$ 216,05"
2025-05 (MAI),2025-04-24 00:00:00+00:00,abr,4,Pagamento recebido,-743.0,"R$ -743,00"
2025-05 (MAI),2025-04-20 00:00:00+00:00,abr,3,Amazonprimebr,19.9,"R$ 19,90"
2025-05 (MAI),2025-04-20 00:00:00+00:00,abr,3,Supermercado Guanabara,34.89,"R$ 34,89"
2025-05 (MAI),2025-04-18 00:00:00+00:00,abr,3,Norte Fruti Abolicao,40.55,"R$ 40,55"
2025-05 (MAI),2025-04-17 00:00:00+00:00,abr,3,Rederj,130.03,"R$ 130,03"
2025-05 (MAI),2025-04-17 00:00:00+00:00,abr,3,Amazonprimebr,19.9,"R$ 19,90"
2025-05 (MAI),2025-04-16 00:00:00+00:00,abr,3,Renegociação de pendências (28/Janeiro),226.89,"R$ 226,89"
2025-07 (JUL),2025-07-04 00:00:00+00:00,jul,1,Mais Mobi,20.0,"R$ 20,00"
2025-07 (JUL),2025-06-29 00:00:00+00:00,jun,5,Supermercado Guanabara,100.89,"R$ 100,89"
